"filename", "language", "Vue", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\digital-shopping\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 6, 25
"e:\digital-shopping\babel.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"e:\digital-shopping\package-lock.json", "JSON", 0, 0, 28534, 0, 0, 0, 1, 28535
"e:\digital-shopping\package.json", "JSON", 0, 0, 50, 0, 0, 0, 1, 51
"e:\digital-shopping\public\index.html", "HTML", 0, 0, 0, 0, 16, 1, 1, 18
"e:\digital-shopping\src\App.vue", "Vue", 97, 0, 0, 0, 0, 7, 7, 111
"e:\digital-shopping\src\api\index.js", "JavaScript", 0, 223, 0, 0, 0, 9, 20, 252
"e:\digital-shopping\src\api\request.js", "JavaScript", 0, 14, 0, 0, 0, 9, 2, 25
"e:\digital-shopping\src\components\Backstage\AddForm.vue", "Vue", 122, 0, 0, 0, 0, 2, 6, 130
"e:\digital-shopping\src\components\Backstage\BackstageSearch.vue", "Vue", 87, 0, 0, 0, 0, 2, 3, 92
"e:\digital-shopping\src\components\Backstage\BackstageTop.vue", "Vue", 61, 0, 0, 0, 0, 1, 4, 66
"e:\digital-shopping\src\components\Backstage\Paging.vue", "Vue", 45, 0, 0, 0, 0, 2, 4, 51
"e:\digital-shopping\src\components\Backstage\ProductCollapse.vue", "Vue", 103, 0, 0, 0, 0, 0, 5, 108
"e:\digital-shopping\src\components\LoginForm.vue", "Vue", 82, 0, 0, 0, 0, 0, 2, 84
"e:\digital-shopping\src\components\Reception\BreadHeader.vue", "Vue", 16, 0, 0, 0, 0, 0, 2, 18
"e:\digital-shopping\src\components\Reception\CardsList.vue", "Vue", 55, 0, 0, 0, 0, 1, 9, 65
"e:\digital-shopping\src\components\Reception\Carousel.vue", "Vue", 59, 0, 0, 0, 0, 6, 7, 72
"e:\digital-shopping\src\components\Reception\Classification.vue", "Vue", 58, 0, 0, 0, 0, 0, 5, 63
"e:\digital-shopping\src\components\Reception\DsFooter.vue", "Vue", 22, 0, 0, 0, 0, 0, 3, 25
"e:\digital-shopping\src\components\Reception\NavMenu.vue", "Vue", 273, 0, 0, 0, 0, 1, 10, 284
"e:\digital-shopping\src\components\Reception\ProductShow.vue", "Vue", 71, 0, 0, 0, 0, 0, 2, 73
"e:\digital-shopping\src\components\Reception\Recommend.vue", "Vue", 79, 0, 0, 0, 0, 7, 2, 88
"e:\digital-shopping\src\components\Reception\TabsList.vue", "Vue", 96, 0, 0, 0, 0, 0, 4, 100
"e:\digital-shopping\src\main.js", "JavaScript", 0, 177, 0, 0, 0, 2, 7, 186
"e:\digital-shopping\src\pages\Backstage\BackendSystem.vue", "Vue", 112, 0, 0, 0, 0, 0, 5, 117
"e:\digital-shopping\src\pages\Backstage\Home.vue", "Vue", 187, 0, 0, 0, 0, 5, 6, 198
"e:\digital-shopping\src\pages\Backstage\OrderManagement.vue", "Vue", 352, 0, 0, 0, 0, 10, 2, 364
"e:\digital-shopping\src\pages\Backstage\ProductAdd.vue", "Vue", 243, 0, 0, 0, 0, 15, 16, 274
"e:\digital-shopping\src\pages\Backstage\ProductCategory.vue", "Vue", 169, 0, 0, 0, 0, 1, 5, 175
"e:\digital-shopping\src\pages\Backstage\ProductList.vue", "Vue", 497, 0, 0, 0, 0, 20, 7, 524
"e:\digital-shopping\src\pages\Backstage\UserAdd.vue", "Vue", 44, 0, 0, 0, 0, 2, 5, 51
"e:\digital-shopping\src\pages\Backstage\UserList.vue", "Vue", 317, 0, 0, 0, 0, 14, 15, 346
"e:\digital-shopping\src\pages\Backstage\UserRoot.vue", "Vue", 119, 0, 0, 0, 0, 3, 7, 129
"e:\digital-shopping\src\pages\Reception\Bracelet.vue", "Vue", 85, 0, 0, 0, 0, 0, 3, 88
"e:\digital-shopping\src\pages\Reception\Index.vue", "Vue", 133, 0, 0, 0, 0, 0, 3, 136
"e:\digital-shopping\src\pages\Reception\Login.vue", "Vue", 227, 0, 0, 0, 0, 3, 6, 236
"e:\digital-shopping\src\pages\Reception\MobilePhone.vue", "Vue", 119, 0, 0, 0, 0, 2, 5, 126
"e:\digital-shopping\src\pages\Reception\MyOrder.vue", "Vue", 10, 0, 0, 0, 0, 0, 3, 13
"e:\digital-shopping\src\pages\Reception\Notebook.vue", "Vue", 85, 0, 0, 0, 0, 0, 3, 88
"e:\digital-shopping\src\pages\Reception\PersonalCenter.vue", "Vue", 194, 0, 0, 0, 0, 0, 5, 199
"e:\digital-shopping\src\pages\Reception\ProductDetails.vue", "Vue", 10, 0, 0, 0, 0, 0, 3, 13
"e:\digital-shopping\src\pages\Reception\Register.vue", "Vue", 338, 0, 0, 0, 0, 1, 9, 348
"e:\digital-shopping\src\pages\Reception\ShoppingCart.vue", "Vue", 10, 0, 0, 0, 0, 0, 3, 13
"e:\digital-shopping\src\pages\Reception\Television.vue", "Vue", 85, 0, 0, 0, 0, 0, 3, 88
"e:\digital-shopping\src\router\index.js", "JavaScript", 0, 153, 0, 0, 0, 0, 5, 158
"e:\digital-shopping\src\utils\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"e:\digital-shopping\vue.config.js", "JavaScript", 0, 14, 0, 0, 0, 1, 1, 16
"Total", "-", 4662, 607, 28584, 19, 16, 127, 237, 34252